id,action_time,object_id,object_repr,action_flag,change_message,content_type_id,user_id
104,2020-07-14 17:38:16,S_GR0028,S_GR0028 Brooke Bond Taaza 400gm,1,"[{""added"": {}}, {""added"": {""name"": ""item images"", ""object"": ""62 Brooke Bond Taaza 400gm""}}, {""added"": {""name"": ""item details"", ""object"": ""Brooke Bond Taaza 400gm""}}]",15,1
105,2020-07-14 17:41:13,S_GR0029,S_GR0029 ACI Salt 1kg,1,"[{""added"": {}}, {""added"": {""name"": ""item images"", ""object"": ""63 ACI Salt 1kg""}}, {""added"": {""name"": ""item details"", ""object"": ""ACI Salt 1kg""}}]",15,1
106,2020-07-14 17:44:11,S_GR0030,S_GR0030 Radhuni Turmeric Powder 200gm,1,"[{""added"": {}}, {""added"": {""name"": ""item images"", ""object"": ""64 Radhuni Turmeric Powder 200gm""}}, {""added"": {""name"": ""item details"", ""object"": ""Radhuni Turmeric Powder 200gm""}}]",15,1
107,2020-07-14 17:47:19,S_GR0031,S_GR0031 Radhuni Chilli Powder 200gm,1,"[{""added"": {}}, {""added"": {""name"": ""item images"", ""object"": ""65 Radhuni Chilli Powder 200gm""}}, {""added"": {""name"": ""item details"", ""object"": ""Radhuni Chilli Powder 200gm""}}]",15,1
108,2020-07-14 17:50:29,S_GR0032,S_GR0032 Radhuni Coriander Powder 200gm,1,"[{""added"": {}}, {""added"": {""name"": ""item images"", ""object"": ""66 Radhuni Coriander Powder 200gm""}}, {""added"": {""name"": ""item details"", ""object"": ""Radhuni Coriander Powder 200gm""}}]",15,1
109,2020-07-14 17:54:33,2,Covid-19 Defence,2,"[{""changed"": {""fields"": [""Category name""]}}]",14,1
110,2020-07-14 17:54:36,22,Covid-19 Defence (Covid-19 Defence),2,"[{""changed"": {""fields"": [""Sub category name""]}}]",18,1
111,2020-07-14 17:55:54,S_GR0033,S_GR0033 Radhuni Cumin Powder 200gm,1,"[{""added"": {}}, {""added"": {""name"": ""item images"", ""object"": ""67 Radhuni Cumin Powder 200gm""}}, {""added"": {""name"": ""item details"", ""object"": ""Radhuni Cumin Powder 200gm""}}]",15,1
112,2020-07-14 17:58:59,S_GR0034,S_GR0034 Bashundhara Atta 1kg,1,"[{""added"": {}}, {""added"": {""name"": ""item images"", ""object"": ""68 Bashundhara Atta 1kg""}}, {""added"": {""name"": ""item details"", ""object"": ""Bashundhara Atta 1kg""}}]",15,1
113,2020-07-14 18:09:39,S_GR0035,S_GR0035 Bashundhara Maida 1kg,1,"[{""added"": {}}, {""added"": {""name"": ""item images"", ""object"": ""69 Bashundhara Maida 1kg""}}, {""added"": {""name"": ""item details"", ""object"": ""Bashundhara Maida 1kg""}}]",15,1
114,2020-07-14 18:11:27,S_GR0034,S_GR0034 Bashundhara Atta 1kg,2,"[{""changed"": {""fields"": [""Description""]}}]",15,1
115,2020-07-14 18:17:48,S_GR0036,S_GR0036 Bashundhara Atta 2kg,1,"[{""added"": {}}, {""added"": {""name"": ""item images"", ""object"": ""70 Bashundhara Atta 2kg""}}, {""added"": {""name"": ""item details"", ""object"": ""Bashundhara Atta 2kg""}}]",15,1
116,2020-07-14 18:22:00,S_GR0037,S_GR0037 Bashundhara Maida 2kg,1,"[{""added"": {}}, {""added"": {""name"": ""item images"", ""object"": ""71 Bashundhara Maida 2kg""}}, {""added"": {""name"": ""item details"", ""object"": ""Bashundhara Maida 2kg""}}]",15,1
117,2020-07-14 18:25:20,S_GR0038,S_GR0038 Teer Whole wheat Atta 2kg,1,"[{""added"": {}}, {""added"": {""name"": ""item images"", ""object"": ""72 Teer Whole wheat Atta 2kg""}}, {""added"": {""name"": ""item details"", ""object"": ""Teer Whole wheat Atta 2kg""}}]",15,1
118,2020-07-14 18:27:51,S_GR0039,S_GR0039 Diploma I-FCMP Foil 500gm,1,"[{""added"": {}}, {""added"": {""name"": ""item images"", ""object"": ""73 Diploma I-FCMP Foil 500gm""}}, {""added"": {""name"": ""item details"", ""object"": ""Diploma I-FCMP Foil 500gm""}}]",15,1
